round,set,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,note,design
1,11,c,1,8,90,6000,0.5,20240315,c,8.009,13.665,0.81,0.716,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240315,d,3.301,12.806,0.5,0.51,reject,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240315,e,6.601,13.359,0.73,0.67,reject,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240315,f,5.041,12.564,0.66,0.602,reject,accept,"Rejected for Spread, could keep",static
1,12,a,1,12,110,800,1,20240202,a,0.164,1.965,0.83,0.1,accept,reject,"Minor Shotgun, Low Success Rate",static
1,12,a,1,12,110,800,1,20240202,b,0.175,1.99,0.76,0.116,accept,reject,"Minor Shotgun, Low Success Rate",static
1,12,a,1,12,110,800,1,20240202,c,0.003,0.006,0.725,0.632,reject,reject,"Minor Shotgun, Low Success Rate",static
1,12,a,1,12,110,800,1,20240202,d,0.021,0.057,0.73,0.494,reject,reject,"Minor Shotgun, Low Success Rate",static
1,12,a,1,12,110,800,1,20240202,e,0.002,0.004,0.75,0.739,reject,reject,"Minor Shotgun, Low Success Rate",static
1,12,a,1,12,110,800,1,20240202,f,0.19,2.136,0.76,0.117,accept,reject,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,a,0.674,3.729,0.57,0.314,reject,accept,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,b,1.461,4.36,0.83,0.4,accept,accept,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,c,0,0.004,0.08,0.902,reject,accept,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,d,1.161,4.526,0.67,0.379,accept,accept,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,e,0.445,3.329,0.4,0.331,reject,accept,"Minor Shotgun, Low Success Rate",static
1,12,b,1,12,110,800,1,20240216,f,1.721,5.194,0.82,0.4,accept,accept,"Minor Shotgun, Low Success Rate",static
1,12,c,1,12,110,800,1,20240315,a,0.398,3.403,0.84,0.138,reject,reject,"Minor Shotgun, Low Success Rate",static
1,12,c,1,12,110,800,1,20240315,b,2.65,11.262,0.84,0.277,accept,reject,"Minor Shotgun, Low Success Rate",static
1,12,c,1,12,110,800,1,20240315,c,0.732,4.448,0.84,0.194,reject,reject,"Minor Shotgun, Low Success Rate",static
