round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,23,na,A,1.5,16,70,800,5,20210928,C,4.86,11.6,0.77,0.519,ACCEPT,REJECT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,B,4.86,9.74,0.78,0.625,ACCEPT,ACCEPT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,C,4.81,11.7,0.77,0.507,ACCEPT,REJECT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,B,4.8,13.7,0.75,0.446,ACCEPT,ACCEPT,,,sdoe
1,16,na,C,1.2,8,110,1500,5,20220208,E,4.77,9.11,0.79,0.629,ACCEPT,REJECT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,E,4.6,9.24,0.78,0.623,ACCEPT,ACCEPT,,,sdoe
1,7,na,D,0.8,12,90,4500,5,20220222,C,4.6,8.16,0.8,0.69,ACCEPT,REJECT,,,sdoe
1,17,na,A,1.2,12,130,2500,0,20210928,D,4.58,13.2,0.74,0.448,ACCEPT,REJECT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,A,4.56,11.5,0.78,0.485,ACCEPT,REJECT,,,sdoe
2,45,na,A,0.766,17.5,106,2790,0.156,20240710,d,4.53,20.465,0.51,0.424,reject,accept,,,sobol32
1,11,na,D,1,8,90,6000,0.5,20220308,E,4.52,8.38,0.8,0.645,ACCEPT,REJECT,,,sdoe
2,27,na,A,1,14,87.5,3300,2.5,20240703,d,4.512,21.384,0.43,0.479,reject,accept,,,sobol32
1,18,na,A,1.2,16,55,4500,0.5,20210928,D,4.49,8.1,0.84,0.633,ACCEPT,REJECT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,F,4.45,11.1,0.76,0.5,ACCEPT,REJECT,,,sdoe
1,17,na,A,1.2,12,130,2500,0,20210928,E,4.44,12.8,0.72,0.462,ACCEPT,REJECT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,D,4.44,9.01,0.78,0.617,ACCEPT,ACCEPT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,B,4.4,11.1,0.77,0.488,ACCEPT,REJECT,,,sdoe
1,6,na,D,0.8,8,70,2500,2,20220222,D,4.38,8.28,0.81,0.639,ACCEPT,REJECT,,,sdoe
1,7,na,D,0.8,12,90,4500,5,20220222,D,4.36,8.17,0.8,0.654,ACCEPT,REJECT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,A,4.35,8.46,0.79,0.635,ACCEPT,ACCEPT,,,sdoe
1,23,na,D,1.5,16,70,800,5,20220517,D,4.35,11.3,0.78,0.468,ACCEPT,REJECT,,,sdoe
